,serial_number,name,type,rarity,set
898,48/109,Wailmer,Water,Uncommon,EX Ruby & Sapphire 
899,49/109,Aron,Metal,Common,EX Ruby & Sapphire 
900,50/109,Aron,Metal,Common,EX Ruby & Sapphire 
901,51/109,Carvanha,Water,Common,EX Ruby & Sapphire 
902,52/109,Electrike,Lightning,Common,EX Ruby & Sapphire 
903,53/109,Electrike,Lightning,Common,EX Ruby & Sapphire 
904,54/109,Koffing,Grass,Common,EX Ruby & Sapphire 
905,55/109,Goldeen,Water,Common,EX Ruby & Sapphire 
906,56/109,Makuhita,Fighting,Common,EX Ruby & Sapphire 
907,57/109,Makuhita,Fighting,Common,EX Ruby & Sapphire 
908,58/109,Makuhita,Fighting,Common,EX Ruby & Sapphire 
909,59/109,Mudkip,Water,Common,EX Ruby & Sapphire 
910,60/109,Mudkip,Water,Common,EX Ruby & Sapphire 
911,61/109,Numel,Fire,Common,EX Ruby & Sapphire 
912,62/109,Phanpy,Fighting,Common,EX Ruby & Sapphire 
913,63/109,Poochyena,Darkness,Common,EX Ruby & Sapphire 
914,64/109,Poochyena,Darkness,Common,EX Ruby & Sapphire 
915,65/109,Poochyena,Darkness,Common,EX Ruby & Sapphire 
916,66/109,Ralts,Psychic,Common,EX Ruby & Sapphire 
917,67/109,Ralts,Psychic,Common,EX Ruby & Sapphire 
918,68/109,Ralts,Psychic,Common,EX Ruby & Sapphire 
919,69/109,Shroomish,Grass,Common,EX Ruby & Sapphire 
920,70/109,Skitty,Colorless,Common,EX Ruby & Sapphire 
921,71/109,Skitty,Colorless,Common,EX Ruby & Sapphire 
922,72/109,Taillow,Colorless,Common,EX Ruby & Sapphire 
923,73/109,Torchic,Fire,Common,EX Ruby & Sapphire 
924,74/109,Torchic,Fire,Common,EX Ruby & Sapphire 
925,75/109,Treecko,Grass,Common,EX Ruby & Sapphire 
926,76/109,Treecko,Grass,Common,EX Ruby & Sapphire 
927,77/109,Wingull,Water,Common,EX Ruby & Sapphire 
928,78/109,Wurmple,Grass,Common,EX Ruby & Sapphire 
929,79/109,Zigzagoon,Colorless,Common,EX Ruby & Sapphire 
930,80/109,Energy Removal 2,T,Uncommon,EX Ruby & Sapphire 
931,81/109,Energy Restore,T,Uncommon,EX Ruby & Sapphire 
932,82/109,Energy Switch,T,Uncommon,EX Ruby & Sapphire 
933,83/109,Lady Outing,T [Su],Uncommon,EX Ruby & Sapphire 
934,84/109,Lum Berry,T [Tool],Uncommon,EX Ruby & Sapphire 
935,85/109,Oran Berry,T [Tool],Uncommon,EX Ruby & Sapphire 
936,86/109,Poké Ball,T,Uncommon,EX Ruby & Sapphire 
937,87/109,Pokémon Reversal,T,Uncommon,EX Ruby & Sapphire 
938,88/109,PokéNav,T,Uncommon,EX Ruby & Sapphire 
939,89/109,Professor Birch,T [Su],Uncommon,EX Ruby & Sapphire 
940,90/109,Energy Search,T,Common,EX Ruby & Sapphire 
941,91/109,Potion,T,Common,EX Ruby & Sapphire 
942,92/109,Switch,T,Common,EX Ruby & Sapphire 
943,93/109,Darkness Energy,Darkness,Rare,EX Ruby & Sapphire 
944,94/109,Metal Energy,Metal,Rare,EX Ruby & Sapphire 
945,95/109,Rainbow Energy,Rainbow,Rare,EX Ruby & Sapphire 
946,96/109,Chansey ex,Colorless,Rare Holo ex,EX Ruby & Sapphire 
947,97/109,Electabuzz ex,Lightning,Rare Holo ex,EX Ruby & Sapphire 
948,98/109,Hitmonchan ex,Fighting,Rare Holo ex,EX Ruby & Sapphire 
949,99/109,Lapras ex,Water,Rare Holo ex,EX Ruby & Sapphire 
950,100/109,Magmar ex,Fire,Rare Holo ex,EX Ruby & Sapphire 
951,101/109,Mewtwo ex,Psychic,Rare Holo ex,EX Ruby & Sapphire 
952,102/109,Scyther ex,Grass,Rare Holo ex,EX Ruby & Sapphire 
953,103/109,Sneasel ex,Darkness,Rare Holo ex,EX Ruby & Sapphire 
954,104/109,Grass Energy,Grass,Common,EX Ruby & Sapphire 
955,105/109,Fighting Energy,Fighting,Common,EX Ruby & Sapphire 
956,106/109,Water Energy,Water,Common,EX Ruby & Sapphire 
957,107/109,Psychic Energy,Psychic,Common,EX Ruby & Sapphire 
958,108/109,Fire Energy,Fire,Common,EX Ruby & Sapphire 
959,109/109,Lightning Energy,Lightning,Common,EX Ruby & Sapphire 
960,1/100,Armaldo,Fighting,Rare Holo,EX Sandstorm 
961,2/100,Cacturne,Grass,Rare Holo,EX Sandstorm 
962,3/100,Cradily,Grass,Rare Holo,EX Sandstorm 
963,4/100,Dusclops,Psychic,Rare Holo,EX Sandstorm 
964,5/100,Flareon,Fire,Rare Holo,EX Sandstorm 
965,6/100,Jolteon,Lightning,Rare Holo,EX Sandstorm 
966,7/100,Ludicolo,Water,Rare Holo,EX Sandstorm 
967,8/100,Lunatone,Psychic,Rare Holo,EX Sandstorm 
968,9/100,Mawile,Metal,Rare Holo,EX Sandstorm 
969,10/100,Sableye,Darkness,Rare Holo,EX Sandstorm 
970,11/100,Seviper,Grass,Rare Holo,EX Sandstorm 
971,12/100,Shiftry,Grass,Rare Holo,EX Sandstorm 
972,13/100,Solrock,Fighting,Rare Holo,EX Sandstorm 
973,14/100,Zangoose,Colorless,Rare Holo,EX Sandstorm 
974,15/100,Arcanine,Fire,Rare,EX Sandstorm 
975,16/100,Espeon,Psychic,Rare,EX Sandstorm 
976,17/100,Golduck,Water,Rare,EX Sandstorm 
977,18/100,Kecleon,Colorless,Rare,EX Sandstorm 
978,19/100,Omastar,Water,Rare,EX Sandstorm 
979,20/100,Pichu,Lightning,Rare,EX Sandstorm 
980,21/100,Sandslash,Fighting,Rare,EX Sandstorm 
981,22/100,Shiftry,Grass,Rare,EX Sandstorm 
982,23/100,Steelix,Metal,Rare,EX Sandstorm 
983,24/100,Umbreon,Darkness,Rare,EX Sandstorm 
984,25/100,Vaporeon,Water,Rare,EX Sandstorm 
985,26/100,Wobbuffet,Psychic,Rare,EX Sandstorm 
986,27/100,Anorith,Fighting,Uncommon,EX Sandstorm 
987,28/100,Anorith,Fighting,Uncommon,EX Sandstorm 
988,29/100,Arbok,Grass,Uncommon,EX Sandstorm 
989,30/100,Azumarill,Water,Uncommon,EX Sandstorm 
990,31/100,Azurill,Colorless,Uncommon,EX Sandstorm 
991,32/100,Baltoy,Fighting,Uncommon,EX Sandstorm 
992,33/100,Breloom,Grass,Uncommon,EX Sandstorm 
993,34/100,Delcatty,Colorless,Uncommon,EX Sandstorm 
994,35/100,Electabuzz,Lightning,Uncommon,EX Sandstorm 
995,36/100,Elekid,Lightning,Uncommon,EX Sandstorm 
996,37/100,Fearow,Colorless,Uncommon,EX Sandstorm 
997,38/100,Illumise,Grass,Uncommon,EX Sandstorm 
998,39/100,Kabuto,Water,Uncommon,EX Sandstorm 
999,40/100,Kirlia,Psychic,Uncommon,EX Sandstorm 
1000,41/100,Lairon,Metal,Uncommon,EX Sandstorm 
1001,42/100,Lileep,Grass,Uncommon,EX Sandstorm 
1002,43/100,Lileep,Grass,Uncommon,EX Sandstorm 
1003,44/100,Linoone,Colorless,Uncommon,EX Sandstorm 
1004,45/100,Lombre,Water,Uncommon,EX Sandstorm 
1005,46/100,Lombre,Water,Uncommon,EX Sandstorm 
1006,47/100,Murkrow,Darkness,Uncommon,EX Sandstorm 
1007,48/100,Nuzleaf,Grass,Uncommon,EX Sandstorm 
1008,49/100,Nuzleaf,Grass,Uncommon,EX Sandstorm 
1009,50/100,Pelipper,Water,Uncommon,EX Sandstorm 
1010,51/100,Quilava,Fire,Uncommon,EX Sandstorm 
1011,52/100,Vigoroth,Colorless,Uncommon,EX Sandstorm 
1012,53/100,Volbeat,Grass,Uncommon,EX Sandstorm 
1013,54/100,Wynaut,Psychic,Uncommon,EX Sandstorm 
1014,55/100,Xatu,Psychic,Uncommon,EX Sandstorm 
1015,56/100,Aron,Metal,Common,EX Sandstorm 
1016,57/100,Cacnea,Grass,Common,EX Sandstorm 
1017,58/100,Cacnea,Grass,Common,EX Sandstorm 
1018,59/100,Cyndaquil,Fire,Common,EX Sandstorm 
1019,60/100,Dunsparce,Colorless,Common,EX Sandstorm 
1020,61/100,Duskull,Psychic,Common,EX Sandstorm 
1021,62/100,Duskull,Psychic,Common,EX Sandstorm 
1022,63/100,Eevee,Colorless,Common,EX Sandstorm 
1023,64/100,Ekans,Grass,Common,EX Sandstorm 
1024,65/100,Growlithe,Fire,Common,EX Sandstorm 
1025,66/100,Lotad,Water,Common,EX Sandstorm 
1026,67/100,Lotad,Water,Common,EX Sandstorm 
1027,68/100,Marill,Water,Common,EX Sandstorm 
1028,69/100,Natu,Psychic,Common,EX Sandstorm 
1029,70/100,Omanyte,Water,Common,EX Sandstorm 
1030,71/100,Onix,Fighting,Common,EX Sandstorm 
1031,72/100,Pikachu,Lightning,Common,EX Sandstorm 
1032,73/100,Psyduck,Water,Common,EX Sandstorm 
1033,74/100,Ralts,Psychic,Common,EX Sandstorm 
1034,75/100,Sandshrew,Fighting,Common,EX Sandstorm 
1035,76/100,Seedot,Grass,Common,EX Sandstorm 
1036,77/100,Seedot,Grass,Common,EX Sandstorm 
1037,78/100,Shroomish,Grass,Common,EX Sandstorm 
1038,79/100,Skitty,Colorless,Common,EX Sandstorm 
1039,80/100,Slakoth,Colorless,Common,EX Sandstorm 
1040,81/100,Spearow,Colorless,Common,EX Sandstorm 
1041,82/100,Trapinch,Fighting,Common,EX Sandstorm 
1042,83/100,Wailmer,Water,Common,EX Sandstorm 
1043,84/100,Wingull,Water,Common,EX Sandstorm 
1044,85/100,Zigzagoon,Colorless,Common,EX Sandstorm 
1045,86/100,Double Full Heal,T,Uncommon,EX Sandstorm 
1046,87/100,Lanette's Net Search,T [Su],Uncommon,EX Sandstorm 
1047,88/100,Rare Candy,T,Uncommon,EX Sandstorm 
1048,89/100,Wally's Training,T [Su],Uncommon,EX Sandstorm 
1049,90/100,Claw Fossil,T,Common,EX Sandstorm 
1050,91/100,Mysterious Fossil,T,Common,EX Sandstorm 
1051,92/100,Root Fossil,T,Common,EX Sandstorm 
1052,93/100,Multi Energy,Rainbow,Rare,EX Sandstorm 
1053,94/100,Aerodactyl ex,Colorless,Rare Holo ex,EX Sandstorm 
1054,95/100,Aggron ex,Metal,Rare Holo ex,EX Sandstorm 
1055,96/100,Gardevoir ex,Psychic,Rare Holo ex,EX Sandstorm 
1056,97/100,Kabutops ex,Water,Rare Holo ex,EX Sandstorm 
1057,98/100,Raichu ex,Lightning,Rare Holo ex,EX Sandstorm 
1058,99/100,Typhlosion ex,Fire,Rare Holo ex,EX Sandstorm 
1059,100/100,Wailord ex,Water,Rare Holo ex,EX Sandstorm 
1060,1/97,Absol,Darkness,Rare Holo,EX Dragon 
1061,2/97,Altaria,Colorless,Rare Holo,EX Dragon 
1062,3/97,Crawdaunt,Water,Rare Holo,EX Dragon 
1063,4/97,Flygon,Colorless,Rare Holo,EX Dragon 
1064,5/97,Golem,Fighting,Rare Holo,EX Dragon 
1065,6/97,Grumpig,Psychic,Rare Holo,EX Dragon 
1066,7/97,Minun,Lightning,Rare Holo,EX Dragon 
1067,8/97,Plusle,Lightning,Rare Holo,EX Dragon 
1068,9/97,Roselia,Grass,Rare Holo,EX Dragon 
1069,10/97,Salamence,Colorless,Rare Holo,EX Dragon 
1070,11/97,Shedinja,Grass,Rare Holo,EX Dragon 
1071,12/97,Torkoal,Fire,Rare Holo,EX Dragon 
1072,13/97,Crawdaunt,Water,Rare,EX Dragon 
1073,14/97,Dragonair,Colorless,Rare,EX Dragon 
1074,15/97,Flygon,Colorless,Rare,EX Dragon 
1075,16/97,Girafarig,Psychic,Rare,EX Dragon 
1076,17/97,Magneton,Lightning,Rare,EX Dragon 
1077,18/97,Ninjask,Grass,Rare,EX Dragon 
1078,19/97,Salamence,Colorless,Rare,EX Dragon 
1079,20/97,Shelgon,Colorless,Rare,EX Dragon 
1080,21/97,Skarmory,Metal,Rare,EX Dragon 
1081,22/97,Vibrava,Colorless,Rare,EX Dragon 
1082,23/97,Bagon,Colorless,Uncommon,EX Dragon 
1083,24/97,Camerupt,Fire,Uncommon,EX Dragon 
1084,25/97,Combusken,Fire,Uncommon,EX Dragon 
1085,26/97,Dratini,Colorless,Uncommon,EX Dragon 
1086,27/97,Flaaffy,Lightning,Uncommon,EX Dragon 
1087,28/97,Forretress,Metal,Uncommon,EX Dragon 
1088,29/97,Graveler,Fighting,Uncommon,EX Dragon 
1089,30/97,Graveler,Fighting,Uncommon,EX Dragon 
1090,31/97,Grovyle,Grass,Uncommon,EX Dragon 
1091,32/97,Gyarados,Water,Uncommon,EX Dragon 
1092,33/97,Horsea,Water,Uncommon,EX Dragon 
1093,34/97,Houndoom,Darkness,Uncommon,EX Dragon 
1094,35/97,Magneton,Lightning,Uncommon,EX Dragon 
1095,36/97,Marshtomp,Water,Uncommon,EX Dragon 
1096,37/97,Meditite,Fighting,Uncommon,EX Dragon 
1097,38/97,Ninjask,Grass,Uncommon,EX Dragon 
1098,39/97,Seadra,Water,Uncommon,EX Dragon 
1099,40/97,Seadra,Water,Uncommon,EX Dragon 
1100,41/97,Shelgon,Colorless,Uncommon,EX Dragon 
1101,42/97,Shelgon,Colorless,Uncommon,EX Dragon 
1102,43/97,Shuppet,Psychic,Uncommon,EX Dragon 
1103,44/97,Snorunt,Water,Uncommon,EX Dragon 
1104,45/97,Swellow,Colorless,Uncommon,EX Dragon 
1105,46/97,Vibrava,Colorless,Uncommon,EX Dragon 
1106,47/97,Vibrava,Colorless,Uncommon,EX Dragon 
1107,48/97,Whiscash,Water,Uncommon,EX Dragon 
1108,49/97,Bagon,Colorless,Common,EX Dragon 
1109,50/97,Bagon,Colorless,Common,EX Dragon 
1110,51/97,Barboach,Water,Common,EX Dragon 
1111,52/97,Corphish,Water,Common,EX Dragon 
1112,53/97,Corphish,Water,Common,EX Dragon 
1113,54/97,Corphish,Water,Common,EX Dragon 
1114,55/97,Geodude,Fighting,Common,EX Dragon 
1115,56/97,Geodude,Fighting,Common,EX Dragon 
1116,57/97,Grimer,Grass,Common,EX Dragon 
1117,58/97,Horsea,Water,Common,EX Dragon 
1118,59/97,Houndour,Darkness,Common,EX Dragon 
1119,60/97,Magikarp,Water,Common,EX Dragon 
1120,61/97,Magnemite,Lightning,Common,EX Dragon 
1121,62/97,Magnemite,Lightning,Common,EX Dragon 
1122,63/97,Magnemite,Lightning,Common,EX Dragon 
1123,64/97,Mareep,Lightning,Common,EX Dragon 
1124,65/97,Mudkip,Water,Common,EX Dragon 
1125,66/97,Nincada,Grass,Common,EX Dragon 
1126,67/97,Nincada,Grass,Common,EX Dragon 
1127,68/97,Nincada,Grass,Common,EX Dragon 
1128,69/97,Numel,Fire,Common,EX Dragon 
1129,70/97,Numel,Fire,Common,EX Dragon 
1130,71/97,Pineco,Grass,Common,EX Dragon 
1131,72/97,Slugma,Fire,Common,EX Dragon 
1132,73/97,Spoink,Psychic,Common,EX Dragon 
1133,74/97,Spoink,Psychic,Common,EX Dragon 
1134,75/97,Swablu,Colorless,Common,EX Dragon 
1135,76/97,Taillow,Colorless,Common,EX Dragon 
1136,77/97,Torchic,Fire,Common,EX Dragon 
1137,78/97,Trapinch,Fighting,Common,EX Dragon 
1138,79/97,Trapinch,Fighting,Common,EX Dragon 
1139,80/97,Treecko,Grass,Common,EX Dragon 
1140,81/97,Wurmple,Grass,Common,EX Dragon 
1141,82/97,Balloon Berry,T [Tool],Uncommon,EX Dragon 
1142,83/97,Buffer Piece,T [Tool],Uncommon,EX Dragon 
1143,84/97,Energy Recycle System,T,Uncommon,EX Dragon 
1144,85/97,High Pressure System,T [St],Uncommon,EX Dragon 
1145,86/97,Low Pressure System,T [St],Uncommon,EX Dragon 
1146,87/97,Mr. Briney's Compassion,T [Su],Uncommon,EX Dragon 
1147,88/97,TV Reporter,T [Su],Uncommon,EX Dragon 
1148,89/97,Ampharos ex,Lightning,Rare Holo ex,EX Dragon 
1149,90/97,Dragonite ex,Colorless,Rare Holo ex,EX Dragon 
1150,91/97,Golem ex,Fighting,Rare Holo ex,EX Dragon 
1151,92/97,Kingdra ex,Water,Rare Holo ex,EX Dragon 
1152,93/97,Latias ex,Colorless,Rare Holo ex,EX Dragon 
1153,94/97,Latios ex,Colorless,Rare Holo ex,EX Dragon 
1154,95/97,Magcargo ex,Fire,Rare Holo ex,EX Dragon 
1155,96/97,Muk ex,Grass,Rare Holo ex,EX Dragon 
1156,97/97,Rayquaza ex,Colorless,Rare Holo ex,EX Dragon 
1157,98/97,Charmander,Fire,NULL,EX Dragon 
1158,99/97,Charmeleon,Fire,NULL,EX Dragon 
1159,100/97,Charizard,Fire,NULL,EX Dragon 
1160,1/95,Team Aqua's Cacturne,"['Grass', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1161,2/95,Team Aqua's Crawdaunt,"['Water', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1162,3/95,Team Aqua's Kyogre,"['Water', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1163,4/95,Team Aqua's Manectric,"['Lightning', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1164,5/95,Team Aqua's Sharpedo,"['Water', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1165,6/95,Team Aqua's Walrein,"['Water', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1166,7/95,Team Magma's Aggron,"['Fighting', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1167,8/95,Team Magma's Claydol,"['Psychic', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1168,9/95,Team Magma's Groudon,"['Fighting', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1169,10/95,Team Magma's Houndoom,"['Fire', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1170,11/95,Team Magma's Rhydon,"['Fighting', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1171,12/95,Team Magma's Torkoal,"['Fire', 'Darkness']",Rare Holo,EX Team Magma vs Team Aqua 
1172,13/95,Raichu,Lightning,Rare,EX Team Magma vs Team Aqua 
1173,14/95,Team Aqua's Crawdaunt,Water,Rare,EX Team Magma vs Team Aqua 
1174,15/95,Team Aqua's Mightyena,Darkness,Rare,EX Team Magma vs Team Aqua 
1175,16/95,Team Aqua's Sealeo,Water,Rare,EX Team Magma vs Team Aqua 
1176,17/95,Team Aqua's Seviper,Grass,Rare,EX Team Magma vs Team Aqua 
1177,18/95,Team Aqua's Sharpedo,Water,Rare,EX Team Magma vs Team Aqua 
1178,19/95,Team Magma's Camerupt,Fire,Rare,EX Team Magma vs Team Aqua 
1179,20/95,Team Magma's Lairon,Fighting,Rare,EX Team Magma vs Team Aqua 
1180,21/95,Team Magma's Mightyena,Darkness,Rare,EX Team Magma vs Team Aqua 
1181,22/95,Team Magma's Rhydon,Fighting,Rare,EX Team Magma vs Team Aqua 
1182,23/95,Team Magma's Zangoose,Colorless,Rare,EX Team Magma vs Team Aqua 
1183,24/95,Team Aqua's Cacnea,"['Grass', 'Darkness']",Uncommon,EX Team Magma vs Team Aqua 
1184,25/95,Team Aqua's Carvanha,Water,Uncommon,EX Team Magma vs Team Aqua 
1185,26/95,Team Aqua's Corphish,Water,Uncommon,EX Team Magma vs Team Aqua 
1186,27/95,Team Aqua's Electrike,Lightning,Uncommon,EX Team Magma vs Team Aqua 
1187,28/95,Team Aqua's Lanturn,Lightning,Uncommon,EX Team Magma vs Team Aqua 
1188,29/95,Team Aqua's Manectric,Lightning,Uncommon,EX Team Magma vs Team Aqua 
1189,30/95,Team Aqua's Mightyena,Darkness,Uncommon,EX Team Magma vs Team Aqua 
1190,31/95,Team Aqua's Sealeo,Water,Uncommon,EX Team Magma vs Team Aqua 
1191,32/95,Team Magma's Baltoy,Psychic,Uncommon,EX Team Magma vs Team Aqua 
1192,33/95,Team Magma's Claydol,Fighting,Uncommon,EX Team Magma vs Team Aqua 
1193,34/95,Team Magma's Houndoom,Fire,Uncommon,EX Team Magma vs Team Aqua 
1194,35/95,Team Magma's Houndour,Fire,Uncommon,EX Team Magma vs Team Aqua 
1195,36/95,Team Magma's Lairon,Fighting,Uncommon,EX Team Magma vs Team Aqua 
1196,37/95,Team Magma's Mightyena,Darkness,Uncommon,EX Team Magma vs Team Aqua 
1197,38/95,Team Magma's Rhyhorn,Fighting,Uncommon,EX Team Magma vs Team Aqua 
1198,39/95,Bulbasaur,Grass,Common,EX Team Magma vs Team Aqua 
1199,40/95,Cubone,Fighting,Common,EX Team Magma vs Team Aqua 
1200,41/95,Jigglypuff,Colorless,Common,EX Team Magma vs Team Aqua 
1201,42/95,Meowth,Colorless,Common,EX Team Magma vs Team Aqua 
1202,43/95,Pikachu,Lightning,Common,EX Team Magma vs Team Aqua 
1203,44/95,Psyduck,Water,Common,EX Team Magma vs Team Aqua 
1204,45/95,Slowpoke,Psychic,Common,EX Team Magma vs Team Aqua 
1205,46/95,Squirtle,Water,Common,EX Team Magma vs Team Aqua 
1206,47/95,Team Aqua's Carvanha,Water,Common,EX Team Magma vs Team Aqua 
1207,48/95,Team Aqua's Carvanha,Water,Common,EX Team Magma vs Team Aqua 
1208,49/95,Team Aqua's Chinchou,Lightning,Common,EX Team Magma vs Team Aqua 
1209,50/95,Team Aqua's Corphish,Water,Common,EX Team Magma vs Team Aqua 
1210,51/95,Team Aqua's Corphish,Water,Common,EX Team Magma vs Team Aqua 
1211,52/95,Team Aqua's Electrike,Lightning,Common,EX Team Magma vs Team Aqua 
1212,53/95,Team Aqua's Electrike,Lightning,Common,EX Team Magma vs Team Aqua 
1213,54/95,Team Aqua's Poochyena,Darkness,Common,EX Team Magma vs Team Aqua 
1214,55/95,Team Aqua's Poochyena,Darkness,Common,EX Team Magma vs Team Aqua 
1215,56/95,Team Aqua's Spheal,Water,Common,EX Team Magma vs Team Aqua 
1216,57/95,Team Aqua's Spheal,Water,Common,EX Team Magma vs Team Aqua 
1217,58/95,Team Magma's Aron,Fighting,Common,EX Team Magma vs Team Aqua 
1218,59/95,Team Magma's Aron,Fighting,Common,EX Team Magma vs Team Aqua 
1219,60/95,Team Magma's Baltoy,Fighting,Common,EX Team Magma vs Team Aqua 
1220,61/95,Team Magma's Baltoy,Fighting,Common,EX Team Magma vs Team Aqua 
1221,62/95,Team Magma's Houndour,Fire,Common,EX Team Magma vs Team Aqua 
1222,63/95,Team Magma's Houndour,Fire,Common,EX Team Magma vs Team Aqua 
1223,64/95,Team Magma's Numel,Fire,Common,EX Team Magma vs Team Aqua 
1224,65/95,Team Magma's Poochyena,Darkness,Common,EX Team Magma vs Team Aqua 
1225,66/95,Team Magma's Poochyena,Darkness,Common,EX Team Magma vs Team Aqua 
1226,67/95,Team Magma's Rhyhorn,Fighting,Common,EX Team Magma vs Team Aqua 
1227,68/95,Team Magma's Rhyhorn,Fighting,Common,EX Team Magma vs Team Aqua 
1228,69/95,Team Aqua Schemer,T [Su],Common,EX Team Magma vs Team Aqua 
1229,70/95,Team Magma Schemer,T [Su],Common,EX Team Magma vs Team Aqua 
1230,71/95,Archie,T [Su],Uncommon,EX Team Magma vs Team Aqua 
1231,72/95,Dual Ball,T,Uncommon,EX Team Magma vs Team Aqua 
1232,73/95,Maxie,T [Su],Uncommon,EX Team Magma vs Team Aqua 
1233,74/95,Strength Charm,T [Tool],Uncommon,EX Team Magma vs Team Aqua 
1234,75/95,Team Aqua Ball,T,Uncommon,EX Team Magma vs Team Aqua 
1235,76/95,Team Aqua Belt,T [Tool],Uncommon,EX Team Magma vs Team Aqua 
1236,77/95,Team Aqua Conspirator,T [Su],Uncommon,EX Team Magma vs Team Aqua 
1237,78/95,Team Aqua Hideout,T [St],Uncommon,EX Team Magma vs Team Aqua 
1238,79/95,Team Aqua Technical Machine 01,T [TM],Uncommon,EX Team Magma vs Team Aqua 
1239,80/95,Team Magma Ball,T,Uncommon,EX Team Magma vs Team Aqua 
1240,81/95,Team Magma Belt,T [Tool],Uncommon,EX Team Magma vs Team Aqua 
1241,82/95,Team Magma Conspirator,T [Su],Uncommon,EX Team Magma vs Team Aqua 
1242,83/95,Team Magma Hideout,T [St],Uncommon,EX Team Magma vs Team Aqua 
1243,84/95,Team Magma Technical Machine 01,T [TM],Uncommon,EX Team Magma vs Team Aqua 
1244,85/95,Warp Point,T,Uncommon,EX Team Magma vs Team Aqua 
1245,86/95,Aqua Energy,Water,Uncommon,EX Team Magma vs Team Aqua 
1246,87/95,Magma Energy,Fighting,Uncommon,EX Team Magma vs Team Aqua 
1247,88/95,Double Rainbow Energy,Rainbow,Rare,EX Team Magma vs Team Aqua 
1248,89/95,Blaziken ex,Fire,Rare Holo ex,EX Team Magma vs Team Aqua 
1249,90/95,Cradily ex,Grass,Rare Holo ex,EX Team Magma vs Team Aqua 
1250,91/95,Entei ex,Fire,Rare Holo ex,EX Team Magma vs Team Aqua 
1251,92/95,Raikou ex,Lightning,Rare Holo ex,EX Team Magma vs Team Aqua 
1252,93/95,Sceptile ex,Grass,Rare Holo ex,EX Team Magma vs Team Aqua 
1253,94/95,Suicune ex,Water,Rare Holo ex,EX Team Magma vs Team Aqua 
1254,95/95,Swampert ex,Fighting,Rare Holo ex,EX Team Magma vs Team Aqua 
1255,96/95,Absol,Darkness,NULL,EX Team Magma vs Team Aqua 
1256,97/95,Jirachi,Psychic,NULL,EX Team Magma vs Team Aqua 
1257,1/101,Banette,Psychic,Rare Holo,EX Hidden Legends 
1258,2/101,Claydol,Psychic,Rare Holo,EX Hidden Legends 
1259,3/101,Crobat,Grass,Rare Holo,EX Hidden Legends 
1260,4/101,Dark Celebi,"['Grass', 'Darkness']",Rare Holo,EX Hidden Legends 
1261,5/101,Electrode,Lightning,Rare Holo,EX Hidden Legends 
1262,6/101,Exploud,Colorless,Rare Holo,EX Hidden Legends 
1263,7/101,Heracross,Grass,Rare Holo,EX Hidden Legends 
1264,8/101,Jirachi,"['Psychic', 'Metal']",Rare Holo,EX Hidden Legends 
1265,9/101,Machamp,Fighting,Rare Holo,EX Hidden Legends 
1266,10/101,Medicham,Fighting,Rare Holo,EX Hidden Legends 
1267,11/101,Metagross,"['Psychic', 'Metal']",Rare Holo,EX Hidden Legends 
1268,12/101,Milotic,Water,Rare Holo,EX Hidden Legends 
1269,13/101,Pinsir,Grass,Rare Holo,EX Hidden Legends 
1270,14/101,Shiftry,Darkness,Rare Holo,EX Hidden Legends 
1271,15/101,Walrein,Water,Rare Holo,EX Hidden Legends 
1272,16/101,Bellossom,Grass,Rare,EX Hidden Legends 
1273,17/101,Chimecho,Psychic,Rare,EX Hidden Legends 
1274,18/101,Gorebyss,Water,Rare,EX Hidden Legends 
1275,19/101,Huntail,Water,Rare,EX Hidden Legends 
1276,20/101,Masquerain,Grass,Rare,EX Hidden Legends 
1277,21/101,Metang,Metal,Rare,EX Hidden Legends 
1278,22/101,Ninetales,Fire,Rare,EX Hidden Legends 
1279,23/101,Rain Castform,Water,Rare,EX Hidden Legends 
1280,24/101,Relicanth,Water,Rare,EX Hidden Legends 
1281,25/101,Snow-cloud Castform,Water,Rare,EX Hidden Legends 
1282,26/101,Sunny Castform,Fire,Rare,EX Hidden Legends 
1283,27/101,Tropius,Grass,Rare,EX Hidden Legends 
1284,28/101,Beldum,Metal,Uncommon,EX Hidden Legends 
1285,29/101,Beldum,Metal,Uncommon,EX Hidden Legends 
1286,30/101,Castform,Colorless,Uncommon,EX Hidden Legends 
1287,31/101,Claydol,Fighting,Uncommon,EX Hidden Legends 
1288,32/101,Corsola,Water,Uncommon,EX Hidden Legends 
1289,33/101,Dodrio,Colorless,Uncommon,EX Hidden Legends 
1290,34/101,Glalie,Water,Uncommon,EX Hidden Legends 
1291,35/101,Gloom,Grass,Uncommon,EX Hidden Legends 
